agenda,date,draft,draft_url,meeting_record,meeting_record_url,veto_power,veto_china,veto_france,veto_russia,veto_ussr,veto_uk,veto_usa,datetime,agenda_cleaned,impacted_country
Application for Membership Austria,13 September 1949,S/1336,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1336,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Austria,Austria
Application for Membership Ireland,13 September 1949,S/1335,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1335,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Ireland,Ireland
Application for Membership Finland,13 September 1949,S/1334,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1334,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Finland,Finland
Application for Membership Italy,13 September 1949,S/1333,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1333,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Italy,Italy
Application for Membership Transjordan,13 September 1949,S/1332,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1332,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Transjordan,Jordan
Application for Membership Portugal,13 September 1949,S/1331,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1331,S/PV.443,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.443,Russia,,,,USSR,,,1949-09-13,Application for Membership Portugal,Portugal
Application for Membership Nepal,7 September 1949,S/1385,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1385,S/PV.439,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.439,Russia,,,,USSR,,,1949-09-07,Application for Membership Nepal,Nepal
Application for Membership Republic of Korea,8 April 1949,S/1305,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1305,S/PV.423,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.423,Russia,,,,USSR,,,1949-04-08,Application for Membership Republic of Korea,South Korea
Application for Membership Ceylon,15 December 1948,S/PV.384,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.384,S/PV.384,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.384,Russia,,,,USSR,,,1948-12-15,Application for Membership Ceylon,Sri Lanka
Application for Membership Ceylon,18 August 1948,S/PV.351,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.351,S/PV.351,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.351,Russia,,,,USSR,,,1948-08-18,Application for Membership Ceylon,Sri Lanka
Application for Membership Italy,10 April 1948,S/PV.279,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.279,S/PV.279,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.279,Russia,,,,USSR,,,1948-04-10,Application for Membership Italy,Italy
Application for Membership Italy,1 October 1947,S/PV.206,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.206,S/PV.206,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.206,Russia,,,,USSR,,,1947-10-01,Application for Membership Italy,Italy
Application for Membership Finland,1 October 1947,S/PV.206,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.206,S/PV.206,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.206,Russia,,,,USSR,,,1947-10-01,Application for Membership Finland,Finland
Application for Membership Austria,21 August 1947,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,Russia,,,,USSR,,,1947-08-21,Application for Membership Austria,Austria
Application for Membership Italy,21 August 1947,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,Russia,,,,USSR,,,1947-08-21,Application for Membership Italy,Italy
Application for Membership Portugal,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,Russia,,,,USSR,,,1947-08-18,Application for Membership Portugal,Portugal
Application for Membership Ireland,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,Russia,,,,USSR,,,1947-08-18,Application for Membership Ireland,Ireland
Application for Membership Transjordan,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,Russia,,,,USSR,,,1947-08-18,Application for Membership Transjordan,Jordan
Application for Membership Portugal,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,Russia,,,,USSR,,,1946-08-29,Application for Membership Portugal,Portugal
Application for Membership Ireland,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,Russia,,,,USSR,,,1946-08-29,Application for Membership Ireland,Ireland
Application for Membership Transjordan,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,Russia,,,,USSR,,,1946-08-29,Application for Membership Transjordan,Jordan
